material_id,formula,cif_path,atomic_numbers,electronegativity,group,period,atomic_radius,formation_energy
mp-1187068,Sr2GaHg,dataset/cif_files/mp-1187068.cif,"[38, 38, 31, 80]","[0.95, 0.95, 1.81, 2]","[2, 2, 13, 12]","[5, 5, 4, 6]","[2.0, 2.0, 1.3, 1.5]",-0.450507718
mp-1096362,Sr2HgBi,dataset/cif_files/mp-1096362.cif,"[38, 38, 80, 83]","[0.95, 0.95, 2, 2.02]","[2, 2, 12, 15]","[5, 5, 6, 6]","[2.0, 2.0, 1.5, 1.6]",0.657122449
mp-867207,Sr2HgPb,dataset/cif_files/mp-867207.cif,"[38, 38, 80, 82]","[0.95, 0.95, 2, 2.33]","[2, 2, 12, 14]","[5, 5, 6, 6]","[2.0, 2.0, 1.5, 1.8]",-0.597141416
mp-1096160,Sr2InHg,dataset/cif_files/mp-1096160.cif,"[38, 38, 49, 80]","[0.95, 0.95, 1.78, 2]","[2, 2, 13, 12]","[5, 5, 5, 6]","[2.0, 2.0, 1.55, 1.5]",0.963589338
mp-1187240,Sr2InHg,dataset/cif_files/mp-1187240.cif,"[38, 38, 49, 80]","[0.95, 0.95, 1.78, 2]","[2, 2, 13, 12]","[5, 5, 5, 6]","[2.0, 2.0, 1.55, 1.5]",-0.479376847
mp-1095866,Sr2InPb,dataset/cif_files/mp-1095866.cif,"[38, 38, 49, 82]","[0.95, 0.95, 1.78, 2.33]","[2, 2, 13, 14]","[5, 5, 5, 6]","[2.0, 2.0, 1.55, 1.8]",1.180780736
mp-1097457,Sr2LiAl,dataset/cif_files/mp-1097457.cif,"[38, 38, 3, 13]","[0.95, 0.95, 0.98, 1.61]","[2, 2, 1, 13]","[5, 5, 2, 3]","[2.0, 2.0, 1.45, 1.25]",1.395228914
mp-1095754,Sr2LiCd,dataset/cif_files/mp-1095754.cif,"[38, 38, 3, 48]","[0.95, 0.95, 0.98, 1.69]","[2, 2, 1, 12]","[5, 5, 2, 5]","[2.0, 2.0, 1.45, 1.55]",1.080727817
mp-1187087,Sr2LiCd,dataset/cif_files/mp-1187087.cif,"[38, 38, 3, 48]","[0.95, 0.95, 0.98, 1.69]","[2, 2, 1, 12]","[5, 5, 2, 5]","[2.0, 2.0, 1.45, 1.55]",-0.154782603
mp-1096141,Sr2LiGa,dataset/cif_files/mp-1096141.cif,"[38, 38, 3, 31]","[0.95, 0.95, 0.98, 1.81]","[2, 2, 1, 13]","[5, 5, 2, 4]","[2.0, 2.0, 1.45, 1.3]",1.186480802
mp-1187085,Sr2LiGa,dataset/cif_files/mp-1187085.cif,"[38, 38, 3, 31]","[0.95, 0.95, 0.98, 1.81]","[2, 2, 1, 13]","[5, 5, 2, 4]","[2.0, 2.0, 1.45, 1.3]",-0.215302563
mp-1093971,Sr2LiHg,dataset/cif_files/mp-1093971.cif,"[38, 38, 3, 80]","[0.95, 0.95, 0.98, 2]","[2, 2, 1, 12]","[5, 5, 2, 6]","[2.0, 2.0, 1.45, 1.5]",0.946168291
mp-867208,Sr2LiIn,dataset/cif_files/mp-867208.cif,"[38, 38, 3, 49]","[0.95, 0.95, 0.98, 1.78]","[2, 2, 1, 13]","[5, 5, 2, 5]","[2.0, 2.0, 1.45, 1.55]",-0.240165595
mp-1096097,Sr2LiIr,dataset/cif_files/mp-1096097.cif,"[38, 38, 3, 77]","[0.95, 0.95, 0.98, 2.2]","[2, 2, 1, 9]","[5, 5, 2, 6]","[2.0, 2.0, 1.45, 1.35]",1.498975655
mp-1097272,Sr2LiMg,dataset/cif_files/mp-1097272.cif,"[38, 38, 3, 12]","[0.95, 0.95, 0.98, 1.31]","[2, 2, 1, 2]","[5, 5, 2, 3]","[2.0, 2.0, 1.45, 1.5]",1.234547213
mp-1093734,Sr2LiPb,dataset/cif_files/mp-1093734.cif,"[38, 38, 3, 82]","[0.95, 0.95, 0.98, 2.33]","[2, 2, 1, 14]","[5, 5, 2, 6]","[2.0, 2.0, 1.45, 1.8]",1.114171487
mp-1096504,Sr2LiPd,dataset/cif_files/mp-1096504.cif,"[38, 38, 3, 46]","[0.95, 0.95, 0.98, 2.2]","[2, 2, 1, 10]","[5, 5, 2, 5]","[2.0, 2.0, 1.45, 1.4]",0.949798612
mp-862745,Sr2LiPt,dataset/cif_files/mp-862745.cif,"[38, 38, 3, 78]","[0.95, 0.95, 0.98, 2.28]","[2, 2, 1, 10]","[5, 5, 2, 6]","[2.0, 2.0, 1.45, 1.35]",-0.404384297
mp-1096755,Sr2LiRh,dataset/cif_files/mp-1096755.cif,"[38, 38, 3, 45]","[0.95, 0.95, 0.98, 2.28]","[2, 2, 1, 9]","[5, 5, 2, 5]","[2.0, 2.0, 1.45, 1.35]",1.240816079
mp-1187090,Sr2LiRh,dataset/cif_files/mp-1187090.cif,"[38, 38, 3, 45]","[0.95, 0.95, 0.98, 2.28]","[2, 2, 1, 9]","[5, 5, 2, 5]","[2.0, 2.0, 1.45, 1.35]",-0.040448729
mp-1095830,Sr2LiSn,dataset/cif_files/mp-1095830.cif,"[38, 38, 3, 50]","[0.95, 0.95, 0.98, 1.96]","[2, 2, 1, 14]","[5, 5, 2, 5]","[2.0, 2.0, 1.45, 1.45]",1.118031815
mp-862746,Sr2LiTl,dataset/cif_files/mp-862746.cif,"[38, 38, 3, 81]","[0.95, 0.95, 0.98, 1.62]","[2, 2, 1, 13]","[5, 5, 2, 6]","[2.0, 2.0, 1.45, 1.9]",-0.282441952
mp-1096595,Sr2LiZn,dataset/cif_files/mp-1096595.cif,"[38, 38, 3, 30]","[0.95, 0.95, 0.98, 1.65]","[2, 2, 1, 12]","[5, 5, 2, 4]","[2.0, 2.0, 1.45, 1.35]",1.159699825
mp-1093736,Sr2MgCd,dataset/cif_files/mp-1093736.cif,"[38, 38, 12, 48]","[0.95, 0.95, 1.31, 1.69]","[2, 2, 2, 12]","[5, 5, 3, 5]","[2.0, 2.0, 1.5, 1.55]",1.173288951
mp-1095841,Sr2MgHg,dataset/cif_files/mp-1095841.cif,"[38, 38, 12, 80]","[0.95, 0.95, 1.31, 2]","[2, 2, 2, 12]","[5, 5, 3, 6]","[2.0, 2.0, 1.5, 1.5]",1.029462103
mp-1095971,Sr2MgIn,dataset/cif_files/mp-1095971.cif,"[38, 38, 12, 49]","[0.95, 0.95, 1.31, 1.78]","[2, 2, 2, 13]","[5, 5, 3, 5]","[2.0, 2.0, 1.5, 1.55]",1.26158324
mp-1187121,Sr2MgIn,dataset/cif_files/mp-1187121.cif,"[38, 38, 12, 49]","[0.95, 0.95, 1.31, 1.78]","[2, 2, 2, 13]","[5, 5, 3, 5]","[2.0, 2.0, 1.5, 1.55]",-0.252093635
mp-1095810,Sr2MgPb,dataset/cif_files/mp-1095810.cif,"[38, 38, 12, 82]","[0.95, 0.95, 1.31, 2.33]","[2, 2, 2, 14]","[5, 5, 3, 6]","[2.0, 2.0, 1.5, 1.8]",1.222907279
mp-1095942,Sr2MgTl,dataset/cif_files/mp-1095942.cif,"[38, 38, 12, 81]","[0.95, 0.95, 1.31, 1.62]","[2, 2, 2, 13]","[5, 5, 3, 6]","[2.0, 2.0, 1.5, 1.9]",1.221968953
mp-1187092,Sr2MgTl,dataset/cif_files/mp-1187092.cif,"[38, 38, 12, 81]","[0.95, 0.95, 1.31, 1.62]","[2, 2, 2, 13]","[5, 5, 3, 6]","[2.0, 2.0, 1.5, 1.9]",-0.24165577
mp-1096706,Sr2PdAu,dataset/cif_files/mp-1096706.cif,"[38, 38, 46, 79]","[0.95, 0.95, 2.2, 2.54]","[2, 2, 10, 11]","[5, 5, 5, 6]","[2.0, 2.0, 1.4, 1.35]",0.659852018
mp-1187095,Sr2PdAu,dataset/cif_files/mp-1187095.cif,"[38, 38, 46, 79]","[0.95, 0.95, 2.2, 2.54]","[2, 2, 10, 11]","[5, 5, 5, 6]","[2.0, 2.0, 1.4, 1.35]",-0.650054065
mp-1097492,Sr2PdPt,dataset/cif_files/mp-1097492.cif,"[38, 38, 46, 78]","[0.95, 0.95, 2.2, 2.28]","[2, 2, 10, 10]","[5, 5, 5, 6]","[2.0, 2.0, 1.4, 1.35]",0.777662708
mp-1187097,Sr2PdPt,dataset/cif_files/mp-1187097.cif,"[38, 38, 46, 78]","[0.95, 0.95, 2.2, 2.28]","[2, 2, 10, 10]","[5, 5, 5, 6]","[2.0, 2.0, 1.4, 1.35]",-0.64865336
mp-1218708,Sr2PtAu,dataset/cif_files/mp-1218708.cif,"[38, 38, 78, 79]","[0.95, 0.95, 2.28, 2.54]","[2, 2, 10, 11]","[5, 5, 6, 6]","[2.0, 2.0, 1.35, 1.35]",-0.858216125
mp-862747,Sr2PtAu,dataset/cif_files/mp-862747.cif,"[38, 38, 78, 79]","[0.95, 0.95, 2.28, 2.54]","[2, 2, 10, 11]","[5, 5, 6, 6]","[2.0, 2.0, 1.35, 1.35]",-0.798878797
mp-867169,Sr2SnHg,dataset/cif_files/mp-867169.cif,"[38, 38, 50, 80]","[0.95, 0.95, 1.96, 2]","[2, 2, 14, 12]","[5, 5, 5, 6]","[2.0, 2.0, 1.45, 1.5]",-0.647137642
mp-862740,Sr2TlCd,dataset/cif_files/mp-862740.cif,"[38, 38, 81, 48]","[0.95, 0.95, 1.62, 1.69]","[2, 2, 13, 12]","[5, 5, 6, 5]","[2.0, 2.0, 1.9, 1.55]",-0.377497783
mp-1093935,Sr2TlGa,dataset/cif_files/mp-1093935.cif,"[38, 38, 81, 31]","[0.95, 0.95, 1.62, 1.81]","[2, 2, 13, 13]","[5, 5, 6, 4]","[2.0, 2.0, 1.9, 1.3]",1.163528267
mp-1096694,Sr2TlHg,dataset/cif_files/mp-1096694.cif,"[38, 38, 81, 80]","[0.95, 0.95, 1.62, 2]","[2, 2, 13, 12]","[5, 5, 6, 6]","[2.0, 2.0, 1.9, 1.5]",0.926313526
mp-1187099,Sr2TlHg,dataset/cif_files/mp-1187099.cif,"[38, 38, 81, 80]","[0.95, 0.95, 1.62, 2]","[2, 2, 13, 12]","[5, 5, 6, 6]","[2.0, 2.0, 1.9, 1.5]",-0.481760356
mp-1097657,Sr2TlIn,dataset/cif_files/mp-1097657.cif,"[38, 38, 81, 49]","[0.95, 0.95, 1.62, 1.78]","[2, 2, 13, 13]","[5, 5, 6, 5]","[2.0, 2.0, 1.9, 1.55]",1.1886924
mp-1187125,Sr2TlIn,dataset/cif_files/mp-1187125.cif,"[38, 38, 81, 49]","[0.95, 0.95, 1.62, 1.78]","[2, 2, 13, 13]","[5, 5, 6, 5]","[2.0, 2.0, 1.9, 1.55]",-0.419051185
mp-1096691,Sr2TlPb,dataset/cif_files/mp-1096691.cif,"[38, 38, 81, 82]","[0.95, 0.95, 1.62, 2.33]","[2, 2, 13, 14]","[5, 5, 6, 6]","[2.0, 2.0, 1.9, 1.8]",1.034641147
mp-1187124,Sr2TlPb,dataset/cif_files/mp-1187124.cif,"[38, 38, 81, 82]","[0.95, 0.95, 1.62, 2.33]","[2, 2, 13, 14]","[5, 5, 6, 6]","[2.0, 2.0, 1.9, 1.8]",-0.580310783
mp-1096191,Sr2TlZn,dataset/cif_files/mp-1096191.cif,"[38, 38, 81, 30]","[0.95, 0.95, 1.62, 1.65]","[2, 2, 13, 12]","[5, 5, 6, 4]","[2.0, 2.0, 1.9, 1.35]",1.114145398
mp-1187091,Sr2TlZn,dataset/cif_files/mp-1187091.cif,"[38, 38, 81, 30]","[0.95, 0.95, 1.62, 1.65]","[2, 2, 13, 12]","[5, 5, 6, 4]","[2.0, 2.0, 1.9, 1.35]",-0.326309169
mp-1067817,Sr2UCo,dataset/cif_files/mp-1067817.cif,"[38, 38, 92, 27]","[0.95, 0.95, 1.38, 1.88]","[2, 2, 3, 9]","[5, 5, 7, 4]","[2.0, 2.0, 1.75, 1.35]",1.570013569
mp-1066751,Sr2UMn,dataset/cif_files/mp-1066751.cif,"[38, 38, 92, 25]","[0.95, 0.95, 1.38, 1.55]","[2, 2, 3, 7]","[5, 5, 7, 4]","[2.0, 2.0, 1.75, 1.4]",1.098378051
mp-1064703,Sr2UNi,dataset/cif_files/mp-1064703.cif,"[38, 38, 92, 28]","[0.95, 0.95, 1.38, 1.91]","[2, 2, 3, 10]","[5, 5, 7, 4]","[2.0, 2.0, 1.75, 1.35]",1.108333275
mp-631384,Sr2VW,dataset/cif_files/mp-631384.cif,"[38, 38, 23, 74]","[0.95, 0.95, 1.63, 2.36]","[2, 2, 5, 6]","[5, 5, 4, 6]","[2.0, 2.0, 1.35, 1.35]",1.540139327
mp-1093771,Sr2ZnAg,dataset/cif_files/mp-1093771.cif,"[38, 38, 30, 47]","[0.95, 0.95, 1.65, 1.93]","[2, 2, 12, 11]","[5, 5, 4, 5]","[2.0, 2.0, 1.35, 1.6]",1.092212538
mp-1096564,Sr2ZnCd,dataset/cif_files/mp-1096564.cif,"[38, 38, 30, 48]","[0.95, 0.95, 1.65, 1.69]","[2, 2, 12, 12]","[5, 5, 4, 5]","[2.0, 2.0, 1.35, 1.55]",1.078635855
mp-1096692,Sr2ZnGa,dataset/cif_files/mp-1096692.cif,"[38, 38, 30, 31]","[0.95, 0.95, 1.65, 1.81]","[2, 2, 12, 13]","[5, 5, 4, 4]","[2.0, 2.0, 1.35, 1.3]",1.18640179
mp-1187111,Sr2ZnGa,dataset/cif_files/mp-1187111.cif,"[38, 38, 30, 31]","[0.95, 0.95, 1.65, 1.81]","[2, 2, 12, 13]","[5, 5, 4, 4]","[2.0, 2.0, 1.35, 1.3]",-0.312904642
mp-1095796,Sr2ZnHg,dataset/cif_files/mp-1095796.cif,"[38, 38, 30, 80]","[0.95, 0.95, 1.65, 2]","[2, 2, 12, 12]","[5, 5, 4, 6]","[2.0, 2.0, 1.35, 1.5]",0.934092607
